what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1500212868314
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1500212868314
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1500212868314
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1500212868314
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1500212868314
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1500212868314
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1500212868314
os,sysinfo,,,"win32",1500212868329
arch,sysinfo,,,"x86",1500212868329
ws,sysinfo,,,"win32",1500212868329
locale,sysinfo,,,"en_US",1500212868329
processors,sysinfo,,,"4",1500212868329
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1500212868329
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1500212868329
java.specification.name,sysinfo,,,"Java Platform API Specification",1500212868329
java.specification.vendor,sysinfo,,,"Oracle Corporation",1500212868329
java.specification.version,sysinfo,,,"1.8",1500212868329
java.vendor,sysinfo,,,"Oracle Corporation",1500212868329
java.version,sysinfo,,,"1.8.0_131",1500212868329
java.vm.info,sysinfo,,,"mixed mode",1500212868329
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1500212868329
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1500212868329
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1500212868329
java.vm.specification.version,sysinfo,,,"1.8",1500212868329
java.vm.vendor,sysinfo,,,"Oracle Corporation",1500212868329
java.vm.version,sysinfo,,,"25.131-b11",1500212868329
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1500212869328
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1500212869359
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1500212869452
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1500212869530
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1500212869577
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1500212869640
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1500212869702
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1500212869718
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1500212869920
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1500212869936
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1500212869952
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1500212869967
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1500212869983
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1500212870030
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1500212871180
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1500212871181
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1500212871408
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1500212871521
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1500212871757
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1500212872164
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1500212873262
started,bundle,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms",1500212874170
error,log,,,"DDMS files not found: C:\\Users\\rahul\\AppData\\Local\\Android\\sdk\\tools\\traceview.bat ",1500212874397
error,log,,,"DDMS files not found: C:\\Users\\rahul\\AppData\\Local\\Android\\sdk\\tools\\traceview.bat ",1500212874397
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1500212874628
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1500212874741
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1500212874828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500212875364
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1500212876472
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1500212876499
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1500212877095
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1500212877415
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1500212877426
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1500212877435
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1500212877460
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1500212877497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500229671063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500229673064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500229674329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500229676158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500229679930
