what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1517320180474
locale,sysinfo,,,"en_US",1517320180474
processors,sysinfo,,,"4",1517320180474
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1517320180474
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1517320180474
java.specification.name,sysinfo,,,"Java Platform API Specification",1517320180474
java.specification.vendor,sysinfo,,,"Oracle Corporation",1517320180474
java.specification.version,sysinfo,,,"1.8",1517320180474
java.vendor,sysinfo,,,"Oracle Corporation",1517320180474
java.version,sysinfo,,,"1.8.0_161",1517320180474
java.vm.info,sysinfo,,,"mixed mode",1517320180474
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1517320180474
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1517320180474
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1517320180474
java.vm.specification.version,sysinfo,,,"1.8",1517320180474
java.vm.vendor,sysinfo,,,"Oracle Corporation",1517320180474
java.vm.version,sysinfo,,,"25.161-b12",1517320180474
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1517320180484
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1517320180524
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1517320180564
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1517320180786
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1517320180946
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1517320180956
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1517320181006
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1517320181076
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1517320181696
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1517320181966
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1517320182096
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1517320182166
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1517320182476
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1517320182956
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1517320183246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517320183316
