what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1502082823006
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1502082842522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082844044
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502082844268
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502082844304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082848672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082852051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082853194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082854742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082859490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082868697
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1502082873395
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1502082873397
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1502082873410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082887577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082890587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1502082893763
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1502082903484
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502082905611
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1502082921612
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1502082921969
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1502082921970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1502082922157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1502082925069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502082926749
