what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008545143
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008546158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1502008548197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008555327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008556217
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008558423
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008567202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1502008572241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008583310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008594372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008598029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008599352
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1502008599933
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008605788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1502008620822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1502008623576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1502008624852
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1502008628998
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008634820
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008634850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1502008638419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1502008640027
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008641441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008649109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008652140
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1502008652458
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008663939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008714428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008753234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1502008753241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1502008753241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008766329
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008766411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008771269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008809128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.customizePerspective",1502008809138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008811707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008843854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008847788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008922652
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1502008926576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008927077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502008931477
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1502008935527
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502008940606
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008943889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502008945968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1502008947124
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1502008948865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502009433794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502009447769
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1502009461763
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1502009462418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502009480018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502009522774
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1502009530475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009533179
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1502009544910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009547006
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1502009550059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009552321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502009553115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1502009570508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009581839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009582263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009582666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009600004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009600820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009601497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009612008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009612420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1502009639612
